日期时间,代码,中文名称,英文名称,交易类型,最新价,涨跌额,涨跌幅,昨收,今开,最高,最低,成交量,成交额,买一,卖一,update_time
2025/09/02 16:08:06,00001,长和,CKH HOLDINGS,,51.75,0.05,0.09671,51.7,51.8,52.5,51.65,4705757,244488478,51.65,51.75,2025-09-03 08:03:24.662053
2025/09/02 16:08:08,00002,中电控股,CLP HOLDINGS,,65.3,-0.07,-0.10708,65.37,65.7,65.7,65.3,3880863,253668189,65.3,65.35,2025-09-03 08:03:24.662053
2025/09/02 16:08:06,00003,香港中华煤气,HK & CHINA GAS,,6.91,-0.02,-0.2886,6.93,6.96,6.97,6.9,16760624,115870523,6.9,6.91,2025-09-03 08:03:24.662053
2025/09/02 16:08:06,00004,九龙仓集团,WHARF HOLDINGS,,23.1,0.34,1.49385,22.76,22.62,23.18,22.62,1013376,23317183,23.08,23.12,2025-09-03 08:03:24.662053
2025/09/02 16:08:06,00005,汇丰控股,HSBC HOLDINGS,,99.75,-0.25,-0.25,100.0,100.3,100.8,99.7,11792675,1181485338,99.75,99.8,2025-09-03 08:03:24.662053
2025/09/02 16:08:06,00006,电能实业,POWER ASSETS,,50.85,0.0,0.0,50.85,50.85,50.9,50.65,2020998,102644914,50.8,50.85,2025-09-03 08:03:24.662053
2025/09/02 16:08:08,00007,智富资源投资,WISDOM WEALTH,,0.032,0.0,1e-05,0.032,0.0,0.0,0.0,0,0,0.0,0.0,2025-09-03 08:03:24.662053
2025/09/02 16:08:08,00008,电讯盈科,PCCW,,5.24,0.0,0.0,5.24,5.24,5.27,5.2,4720923,24693758,5.23,5.24,2025-09-03 08:03:24.662053
2025/09/02 16:08:08,00009,金奥国际,KEYNE LTD,,0.013,0.0,0.0,0.013,0.0,0.0,0.0,0,0,0.0,0.0,2025-09-03 08:03:24.662053
2025/09/02 16:08:06,00010,恒隆集团,HANG LUNG GROUP,,13.6,-0.17,-1.23457,13.77,13.62,13.73,13.6,644000,8787507,13.6,13.63,2025-09-03 08:03:24.662053
2025/09/02 16:08:06,00011,恒生银行,HANG SENG BANK,,113.1,1.2,1.07239,111.9,111.9,113.3,111.3,1763155,198785159,113.0,113.1,2025-09-03 08:03:24.662053
2025/09/02 16:08:06,00012,恒基地产,HENDERSON LAND,,27.16,-0.02,-0.07358,27.18,27.18,27.38,27.04,4584189,124631169,27.12,27.16,2025-09-03 08:03:24.662053
2025/09/02 16:08:06,00013,和黄医药,HUTCHMED,,24.32,-0.14,-0.57236,24.46,24.46,24.78,23.84,8281550,200996943,24.3,24.32,2025-09-03 08:03:24.662053
2025/09/02 16:08:06,00014,希慎兴业,HYSAN DEV,,15.12,0.34,2.30041,14.78,14.7,15.18,14.7,2058000,30954430,15.09,15.12,2025-09-03 08:03:24.662053
2025/09/02 16:08:08,00016,新鸿基地产,SHK PPT,,93.65,0.6,0.64482,93.05,92.85,94.25,92.35,3083217,288830215,93.5,93.65,2025-09-03 08:03:24.662053
2025/09/02 16:08:06,00017,新世界发展,NEW WORLD DEV,,6.87,-0.2,-2.82886,7.07,6.9,7.02,6.78,19861527,136417886,6.86,6.87,2025-09-03 08:03:24.662053
2025/09/02 16:08:08,00018,东方企控集团,ORIENTAL E H,,0.35,-0.005,-1.40845,0.355,0.355,0.355,0.35,44000,15610,0.35,0.355,2025-09-03 08:03:24.662053
2025/09/02 16:08:06,00019,太古股份公司Ａ,SWIRE PACIFIC A,,67.75,0.3,0.44477,67.45,67.45,67.9,67.15,805133,54506848,67.7,67.75,2025-09-03 08:03:24.662053
2025/09/02 16:08:06,00020,商汤－Ｗ,SENSETIME-W,,2.07,-0.07,-3.27103,2.14,2.14,2.21,2.03,1159639142,2431849653,2.06,2.07,2025-09-03 08:03:24.662053
2025/09/02 16:08:08,00021,大中华控股,GREAT CHI HLDGS,,0.107,0.0,0.0,0.107,0.107,0.107,0.107,20000,2140,0.101,0.119,2025-09-03 08:03:24.662053
2025/09/02 16:08:06,00022,茂盛控股,MEXAN,,0.132,0.002,1.53846,0.13,0.131,0.133,0.13,440000,57720,0.132,0.135,2025-09-03 08:03:24.662053
2025/09/02 16:08:08,00023,东亚银行,BANK OF E ASIA,,12.73,0.1,0.79176,12.63,12.6,12.79,12.6,1215290,15465466,12.72,12.73,2025-09-03 08:03:24.662053
2025/09/02 16:08:06,00025,CHEVALIER INT'L,CHEVALIER INT'L,,3.95,-0.02,-0.50378,3.97,3.95,3.95,3.95,28000,110600,3.95,4.13,2025-09-03 08:03:24.662053
2025/09/02 16:08:08,00026,中华汽车,CHINA MOTOR BUS,,62.0,0.6,0.9772,61.4,61.5,62.0,61.45,5200,320640,61.65,62.0,2025-09-03 08:03:24.662053
2025/09/02 16:08:06,00027,银河娱乐,GALAXY ENT,,41.22,0.14,0.3408,41.08,41.08,42.04,41.02,10562626,438063172,41.2,41.22,2025-09-03 08:03:24.662053
2025/09/02 16:08:08,00028,天安,TIAN AN,,5.12,-0.11,-2.10325,5.23,5.23,5.23,5.08,180000,934000,5.12,5.21,2025-09-03 08:03:24.662053
