name,cname,category,symbol,price,diff,chg,preclose,open,high,low,amplitude,volume,mktcap,pe,market,category_id,update_time
NVIDIA Corp.,英伟达公司,半导体,NVDA,170.78,-3.40,-1.95,174.18,170.00,172.38,167.22,2.96%,231002931,4149006234741,48.24293803,NASDAQ,12,2025-09-03 08:09:05.526331
Microsoft Corp.,微软公司,软件,MSFT,505.12,-1.57,-0.31,506.69,500.46,506.00,496.81,1.81%,18122413,3754640965571,36.87007315,NASDAQ,14,2025-09-03 08:09:05.526331
"Apple, Inc.",苹果公司,计算机,AAPL,229.72,-2.42,-1.04,232.14,229.25,230.85,226.97,1.67%,44009474,3409134408916,34.75340342,NASDAQ,5,2025-09-03 08:09:05.526331
"Alphabet, Inc.",谷歌,互联网,GOOG,211.99,-1.54,-0.72,213.53,208.99,212.37,206.96,2.53%,28869584,2563807126434,22.38542762,NASDAQ,41,2025-09-03 08:09:05.526331
"Alphabet, Inc.",谷歌A类股,媒体内容,GOOGL,211.35,-1.56,-0.73,212.91,208.44,211.68,206.19,2.57%,47448285,2556066973816,22.31784584,NASDAQ,702,2025-09-03 08:09:05.526331
"Amazon.com, Inc.",亚马逊公司,互联网,AMZN,225.34,-3.66,-1.60,229.00,223.52,226.17,221.83,1.90%,38833420,2403231252882,33.73353325,NASDAQ,41,2025-09-03 08:09:05.526331
"Meta Platforms, Inc.","Meta Platforms, Inc.",,META,735.11,-3.59,-0.49,738.70,726.04,736.00,721.73,1.93%,9346759,1846700283623,25.96644293,NASDAQ,,2025-09-03 08:09:05.526331
Broadcom Inc.,博通,半导体,AVGO,298.24,0.85,0.29,297.39,289.34,298.71,287.17,3.88%,19687829,1402763138845,108.45090554,NASDAQ,12,2025-09-03 08:09:05.526331
"Taiwan Semiconductor Manufacturing Co., Ltd.",台湾积体电路制造公司,半导体,TSM,228.39,-2.48,-1.07,230.87,226.15,229.34,225.63,1.61%,13972081,1184549984804,25.98293520,NYSE,12,2025-09-03 08:09:05.526331
"Tesla, Inc.",特斯拉,汽车制造,TSLA,329.36,-4.51,-1.35,333.87,328.23,333.33,325.60,2.32%,58359208,1062462844350,174.26454383,NASDAQ,155,2025-09-03 08:09:05.526331
JPMorgan Chase & Co.,摩根大通公司,,JPM,299.70,-1.72,-0.57,301.42,300.26,300.45,294.50,1.98%,7221706,824101263910,15.35348387,NYSE,695,2025-09-03 08:09:05.526331
"Walmart, Inc.",沃尔玛公司,零售,WMT,97.85,0.87,0.90,96.98,97.23,97.85,96.51,1.38%,15348615,780143470122,36.78571253,NYSE,52,2025-09-03 08:09:05.526331
Eli Lilly & Co.,礼来公司,生物技术和制药,LLY,735.19,2.61,0.36,732.58,727.99,737.14,723.64,1.84%,3221014,695825546960,48.65585832,NYSE,700,2025-09-03 08:09:05.526331
"Visa, Inc.",维萨卡公司,,V,350.07,-1.71,-0.49,351.78,349.31,350.17,346.08,1.16%,4940336,643477333193,34.11988299,NYSE,726,2025-09-03 08:09:05.526331
Oracle Corp.,甲骨文公司,软件,ORCL,225.30,-0.83,-0.37,226.13,222.00,225.45,218.79,2.95%,10459325,632830083472,50.51569532,NYSE,14,2025-09-03 08:09:05.526331
"Mastercard, Inc.",万事达卡公司,商业服务,MA,591.87,-3.42,-0.57,595.29,595.62,595.62,586.00,1.62%,2284061,535057481551,39.85656430,NYSE,16,2025-09-03 08:09:05.526331
"Netflix, Inc.",奈飞公司,,NFLX,1214.11,5.86,0.48,1208.25,1197.00,1215.40,1182.80,2.70%,2301522,515907319718,50.58791606,NASDAQ,712,2025-09-03 08:09:05.526331
Exxon Mobil Corp.,埃克森美孚公司,,XOM,114.69,0.40,0.35,114.29,114.18,115.24,113.33,1.67%,15206153,489037061876,16.19915306,NYSE,710,2025-09-03 08:09:05.526331
Vanguard Total International Stock ETF,领航 国际股票 ETF,股权,VXUS,70.87,-0.50,-0.70,71.37,70.43,70.92,70.36,0.79%,6966507,480523306046,,NASDAQ,145,2025-09-03 08:09:05.526331
Johnson & Johnson,强生公司,制药,JNJ,178.06,0.89,0.50,177.17,177.47,179.20,176.89,1.30%,9048609,428828813669,18.92242300,NYSE,10,2025-09-03 08:09:05.526331
Costco Wholesale Corp.,开市客公司,,COST,938.82,-4.50,-0.48,943.32,938.66,944.51,936.58,0.84%,1792994,416217428682,53.16081628,NASDAQ,822,2025-09-03 08:09:05.526331
"The Home Depot, Inc.",家得宝公司,零售,HD,406.31,-0.46,-0.11,406.77,403.68,408.59,402.75,1.44%,3328711,404435546112,27.54644051,NYSE,52,2025-09-03 08:09:05.526331
"AbbVie, Inc.",艾伯维公司,生物技术和制药,ABBV,211.92,1.52,0.72,210.40,210.14,212.16,208.99,1.51%,4334064,374369021741,100.91428943,NYSE,700,2025-09-03 08:09:05.526331
Bank of America Corp.,美国银行公司,银行,BAC,50.42,-0.32,-0.63,50.74,50.22,50.47,49.67,1.58%,52719545,373458269909,14.61449202,NYSE,61,2025-09-03 08:09:05.526331
"Palantir Technologies, Inc.","Palantir Technologies, Inc.",,PLTR,157.09,0.38,0.24,156.71,151.20,158.39,150.28,5.18%,65409199,372702574582,476.03027302,NYSE,,2025-09-03 08:09:05.526331
Procter & Gamble Co.,宝洁公司,,PG,157.99,0.95,0.60,157.04,157.36,158.86,156.98,1.20%,6432507,370071236385,23.68665722,NYSE,761,2025-09-03 08:09:05.526331
Alibaba Group Holding Ltd.,阿里巴巴,,BABA,138.55,3.55,2.63,135.00,134.47,138.83,133.06,4.27%,41605137,330314143858,15.65536690,NYSE,,2025-09-03 08:09:05.526331
Chevron Corp.,雪佛龙公司,油气,CVX,161.83,1.23,0.77,160.60,160.48,161.86,159.38,1.54%,8947170,326038572127,20.80077088,NYSE,76,2025-09-03 08:09:05.526331
SAP SE,SAP,软件,SAP,266.20,-5.96,-2.19,272.16,266.83,268.60,264.18,1.62%,1594407,310017661041,43.63934695,NYSE,14,2025-09-03 08:09:05.526331
The Coca-Cola Co.,可口可乐公司,饮料,KO,69.06,0.07,0.10,68.99,68.96,69.34,68.25,1.57%,24769066,297211249916,24.40282665,NYSE,74,2025-09-03 08:09:05.526331
GE Aerospace,GE航空航天,多元化制造商,GE,275.39,0.19,0.07,275.20,273.90,275.58,268.01,2.75%,4080972,292034418320,38.14266242,NYSE,58,2025-09-03 08:09:05.526331
"T-Mobile US, Inc.","T-Mobile US, Inc.",,TMUS,255.89,3.90,1.55,251.99,251.69,258.66,251.20,2.96%,4055525,287983476947,24.04981120,NYSE,697,2025-09-03 08:09:05.526331
ASML Holding NV,阿斯麦公司,半导体,ASML,725.85,-16.77,-2.26,742.62,717.21,727.20,716.20,1.48%,1867060,281194280542,27.78904871,NASDAQ,12,2025-09-03 08:09:05.526331
"UnitedHealth Group, Inc.",美国联合健康集团,卫生保健设施,UNH,308.80,-1.07,-0.35,309.87,308.31,312.89,307.30,1.80%,10953106,279672004344,13.28743506,NYSE,692,2025-09-03 08:09:05.526331
"Cisco Systems, Inc.",思科系统公司,电信,CSCO,67.80,-1.29,-1.87,69.09,68.11,68.32,67.38,1.36%,18928488,268487888418,25.77946772,NASDAQ,30,2025-09-03 08:09:05.526331
"Advanced Micro Devices, Inc.",美国超微公司,半导体,AMD,162.32,-0.31,-0.19,162.63,158.42,162.39,156.62,3.55%,38646194,263419999485,92.75428990,NYSE,12,2025-09-03 08:09:05.526331
Wells Fargo & Co.,富国银行,银行,WFC,81.78,-0.40,-0.49,82.18,81.71,81.82,80.44,1.68%,13325671,261977418162,13.86101652,NYSE,61,2025-09-03 08:09:05.526331
"Philip Morris International, Inc.",菲利普莫里斯国际公司,农业,PM,167.40,0.27,0.16,167.13,166.57,168.04,163.38,2.79%,6012997,260573045513,31.76470484,NYSE,159,2025-09-03 08:09:05.526331
Toyota Motor Corp.,丰田汽车公司,汽车制造,TM,193.57,-1.00,-0.51,194.57,192.16,193.57,191.79,0.91%,249750,252287353519,8.92438924,NYSE,155,2025-09-03 08:09:05.526331
Novo Nordisk A/S,诺和诺德公司,制药,NVO,56.38,-0.08,-0.14,56.46,56.72,57.18,55.77,2.49%,11640359,250273804368,15.48901084,NYSE,10,2025-09-03 08:09:05.526331
Vanguard Growth ETF,成长股指数ETF-Vanguard MSCI,股权,VUG,454.96,-3.66,-0.80,458.62,451.59,455.20,449.67,1.20%,1240066,250270134605,,NYSE,145,2025-09-03 08:09:05.526331
AstraZeneca PLC,阿斯利康公司,制药,AZN,80.19,0.29,0.36,79.90,79.86,80.59,79.43,1.45%,2988553,248698479752,29.92164196,NYSE,10,2025-09-03 08:09:05.526331
Novartis AG,诺华公司,生物技术和制药,NVS,126.64,0.09,0.07,126.55,126.07,126.79,125.66,0.90%,899265,245156446547,18.22158315,NYSE,700,2025-09-03 08:09:05.526331
"Salesforce, Inc.",赛富时公司,软件,CRM,252.86,-3.39,-1.32,256.25,254.82,254.99,248.75,2.44%,9310813,241734160583,39.08191790,NYSE,14,2025-09-03 08:09:05.526331
Morgan Stanley,摩根士丹利,,MS,148.85,-1.63,-1.08,150.48,148.56,149.07,145.66,2.27%,5330078,237614587024,16.66853315,NYSE,695,2025-09-03 08:09:05.526331
